Categorie,Produit,Prix,Fichier image,Resolution,Basse resolution ?,Description
Sandwichs Cayenne,Sandwich Cayenne,"7,00 €",Sandwich Cayenne.png,800x800,,Sauce Cayenne maison · 1 viande au choix · crudités
Sandwichs Cayenne,Big Cayenne,"9,50 €",Big Cayenne.png,800x800,,XL · 2 viandes · Cheddar + Oeuf + Jambon inclus · crudités
Galettes,Galette Normale,"6,50 €",Galette Normale.png,800x800,,Galette traditionnelle · 1 viande · sauce au choix · crudités
Galettes,Galette Cayenne,"7,00 €",Galette Cayenne.png,800x800,,Galette signature · 1 viande · sauce Cayenne maison · crudités
Sandwichs Classiques,Sandwich Classique,"6,50 €",Sandwich Classique.png,800x800,,Pain faluche · 1 viande · sauce au choix · crudités
Sandwichs Classiques,Big Classique,"9,00 €",Big Classique.png,800x800,,XL faluche · 2 viandes · Cheddar + Oeuf + Jambon inclus
Burgers,Chicken Burger,"6,90 €",Chicken Burger.png,800x800,,Pain brioché · poulet crispy · sauce au choix · crudités
Burgers,Big Chicken,"8,90 €",Big Chicken.png,800x800,,Big burger brioché · poulet crispy · Cheddar + Jambon + Oeuf inclus
Tacos,Tacos M,"6,90 €",Tacos M.png,800x800,,1 viande au choix · frites · sauce fromagère maison
Tacos,Tacos L,"8,90 €",Tacos L.png,800x800,,2 viandes au choix · frites · sauce fromagère maison
Bowls Gourmands,Bowl Frites - Poulet mariné,"8,90 €",Bowl Frites - Poulet mariné.png,800x800,,Frites · poulet mariné · sauce + suppléments en option
Bowls Gourmands,Bowl Frites - Poulet curry,"8,90 €",Bowl Frites - Poulet curry.png,800x800,,Frites · poulet curry · sauce + suppléments en option
Bowls Gourmands,Bowl Frites - Poulet tandoori,"8,90 €",Bowl Frites - Poulet tandoori.png,800x800,,Frites · poulet tandoori · sauce + suppléments en option
Bowls Gourmands,Bowl Frites - Poulet crispy,"8,90 €",Bowl Frites - Poulet crispy.png,800x800,,Frites · poulet crispy · sauce + suppléments en option
Bowls Gourmands,Bowl Riz - Poulet mariné,"8,90 €",Bowl Riz - Poulet mariné.png,800x800,,Riz basmati · poulet mariné · sauce + suppléments en option
Bowls Gourmands,Bowl Riz - Poulet curry,"8,90 €",Bowl Riz - Poulet curry.png,800x800,,Riz basmati · poulet curry · sauce + suppléments en option
Bowls Gourmands,Bowl Riz - Poulet tandoori,"8,90 €",Bowl Riz - Poulet tandoori.png,800x800,,Riz basmati · poulet tandoori · sauce + suppléments en option
Bowls Gourmands,Bowl Riz - Poulet crispy,"8,90 €",Bowl Riz - Poulet crispy.png,800x800,,Riz basmati · poulet crispy · sauce + suppléments en option
Frites,Petite Frites,"2,50 €",Petite Frites.png,800x800,,Portion petite · Nature / Cheddar +1€ / Cheddar+Oignons +2€
Frites,Grande Frites,"4,00 €",Grande Frites.png,800x800,,Portion grande · Nature / Cheddar +1€ / Cheddar+Oignons +2€
Desserts,Glace,"3,80 €",Glace.png,800x800,,Glace artisanale
Desserts,Tarte Daim,"3,80 €",Tarte Daim.png,800x800,,Tarte au Daim
Desserts,Tiramisu,"3,80 €",Tiramisu.png,800x800,,Tiramisu maison
Boissons,Coca-Cola 33cl,"1,50 €",Coca-Cola 33cl.png,800x800,,Canette 33cl
Boissons,Coca-Cola Zero 33cl,"1,50 €",Coca-Cola Zero 33cl.png,800x800,,Canette 33cl
Boissons,Fanta Orange 33cl,"1,50 €",Fanta Orange 33cl.png,800x800,,Canette 33cl
Boissons,Sprite 33cl,"1,50 €",Sprite 33cl.png,800x800,,Canette 33cl
Boissons,Oasis Tropical 33cl,"1,50 €",Oasis Tropical 33cl.png,800x800,,Canette 33cl
Boissons,Orangina 33cl,"1,50 €",Orangina 33cl.png,800x800,,Canette 33cl
Boissons,Eau Plate 50cl,"1,00 €",Eau Plate 50cl.png,800x800,,Bouteille 50cl
Boissons,Capri-Sun,"1,50 €",Capri-Sun.png,800x800,,20cl
Menu Enfant,Menu Nuggets,"6,00 €",Menu Nuggets.png,800x800,,6 nuggets · frites · Capri-Sun
