key,fr_value,en_value
all.label.all_items,Toutes les catégories,Toutes les catégories
all.label.composer.is_active,Active,Active
all.label.composer.max_select,Maximum,Maximum
all.label.composer.min_select,Minimum,Minimum
all.label.composer.source_type,Source,Source
all.label.composer.template_assiette,Assiette,Assiette
all.label.composer.template_custom,Custom,Custom
all.label.composer.template_sandwich,Sandwich,Sandwich
all.label.composer.template_simple,Simple,Simple
all.label.composer.template_snacking,Snacking,Snacking
all.label.description,Description,Description
auth.failed,These credentials do not match our records.,These credentials do not match our records.
auth.password,The provided password is incorrect.,The provided password is incorrect.
auth.throttle,Too many login attempts. Please try again in :seconds seconds.,Too many login attempts. Please try again in :seconds seconds.
installer.final.email_info,admin@example.com,admin@example.com
installer.final.password_info,123456,123456
installer.permission.title,Permissions,Permissions
installer.requirement.version,version,version
pagination.next,Next &raquo;,Next &raquo;
pagination.previous,&laquo; Previous,&laquo; Previous
passwords.reset,Your password has been reset!,Your password has been reset!
passwords.sent,We have emailed your password reset link!,We have emailed your password reset link!
passwords.throttled,Please wait before retrying.,Please wait before retrying.
passwords.token,This password reset token is invalid.,This password reset token is invalid.
passwords.user,We can't find a user with that email address.,We can't find a user with that email address.
validation.accepted,The :attribute must be accepted.,The :attribute must be accepted.
validation.accepted_if,The :attribute must be accepted when :other is :value.,The :attribute must be accepted when :other is :value.
validation.active_url,The :attribute is not a valid URL.,The :attribute is not a valid URL.
validation.after,The :attribute must be a date after :date.,The :attribute must be a date after :date.
validation.after_or_equal,The :attribute must be a date after or equal to :date.,The :attribute must be a date after or equal to :date.
validation.alpha,The :attribute must only contain letters.,The :attribute must only contain letters.
validation.alpha_dash,"The :attribute must only contain letters, numbers, dashes and underscores.","The :attribute must only contain letters, numbers, dashes and underscores."
validation.alpha_num,The :attribute must only contain letters and numbers.,The :attribute must only contain letters and numbers.
validation.array,The :attribute must be an array.,The :attribute must be an array.
validation.before,The :attribute must be a date before :date.,The :attribute must be a date before :date.
validation.before_or_equal,The :attribute must be a date before or equal to :date.,The :attribute must be a date before or equal to :date.
validation.between.array,The :attribute must have between :min and :max items.,The :attribute must have between :min and :max items.
validation.between.file,The :attribute must be between :min and :max kilobytes.,The :attribute must be between :min and :max kilobytes.
validation.between.numeric,The :attribute must be between :min and :max.,The :attribute must be between :min and :max.
validation.between.string,The :attribute must be between :min and :max characters.,The :attribute must be between :min and :max characters.
validation.boolean,The :attribute field must be true or false.,The :attribute field must be true or false.
validation.confirmed,The :attribute confirmation does not match.,The :attribute confirmation does not match.
validation.current_password,The password is incorrect.,The password is incorrect.
validation.custom.attribute-name.rule-name,custom-message,custom-message
validation.date,The :attribute is not a valid date.,The :attribute is not a valid date.
validation.date_equals,The :attribute must be a date equal to :date.,The :attribute must be a date equal to :date.
validation.date_format,The :attribute does not match the format :format.,The :attribute does not match the format :format.
validation.declined,The :attribute must be declined.,The :attribute must be declined.
validation.declined_if,The :attribute must be declined when :other is :value.,The :attribute must be declined when :other is :value.
validation.different,The :attribute and :other must be different.,The :attribute and :other must be different.
validation.digits,The :attribute must be :digits digits.,The :attribute must be :digits digits.
validation.digits_between,The :attribute must be between :min and :max digits.,The :attribute must be between :min and :max digits.
validation.dimensions,The :attribute has invalid image dimensions.,The :attribute has invalid image dimensions.
validation.distinct,The :attribute field has a duplicate value.,The :attribute field has a duplicate value.
validation.doesnt_end_with,The :attribute may not end with one of the following: :values.,The :attribute may not end with one of the following: :values.
validation.doesnt_start_with,The :attribute may not start with one of the following: :values.,The :attribute may not start with one of the following: :values.
validation.email,The :attribute must be a valid email address.,The :attribute must be a valid email address.
validation.ends_with,The :attribute must end with one of the following: :values.,The :attribute must end with one of the following: :values.
validation.enum,The selected :attribute is invalid.,The selected :attribute is invalid.
validation.exists,The selected :attribute is invalid.,The selected :attribute is invalid.
validation.file,The :attribute must be a file.,The :attribute must be a file.
validation.filled,The :attribute field must have a value.,The :attribute field must have a value.
validation.gt.array,The :attribute must have more than :value items.,The :attribute must have more than :value items.
validation.gt.file,The :attribute must be greater than :value kilobytes.,The :attribute must be greater than :value kilobytes.
validation.gt.numeric,The :attribute must be greater than :value.,The :attribute must be greater than :value.
validation.gt.string,The :attribute must be greater than :value characters.,The :attribute must be greater than :value characters.
validation.gte.array,The :attribute must have :value items or more.,The :attribute must have :value items or more.
validation.gte.file,The :attribute must be greater than or equal to :value kilobytes.,The :attribute must be greater than or equal to :value kilobytes.
validation.gte.numeric,The :attribute must be greater than or equal to :value.,The :attribute must be greater than or equal to :value.
validation.gte.string,The :attribute must be greater than or equal to :value characters.,The :attribute must be greater than or equal to :value characters.
validation.image,The :attribute must be an image.,The :attribute must be an image.
validation.in,The selected :attribute is invalid.,The selected :attribute is invalid.
validation.in_array,The :attribute field does not exist in :other.,The :attribute field does not exist in :other.
validation.integer,The :attribute must be an integer.,The :attribute must be an integer.
validation.ip,The :attribute must be a valid IP address.,The :attribute must be a valid IP address.
validation.ipv4,The :attribute must be a valid IPv4 address.,The :attribute must be a valid IPv4 address.
validation.ipv6,The :attribute must be a valid IPv6 address.,The :attribute must be a valid IPv6 address.
validation.json,The :attribute must be a valid JSON string.,The :attribute must be a valid JSON string.
validation.lowercase,The :attribute must be lowercase.,The :attribute must be lowercase.
validation.lt.array,The :attribute must have less than :value items.,The :attribute must have less than :value items.
validation.lt.file,The :attribute must be less than :value kilobytes.,The :attribute must be less than :value kilobytes.
validation.lt.numeric,The :attribute must be less than :value.,The :attribute must be less than :value.
validation.lt.string,The :attribute must be less than :value characters.,The :attribute must be less than :value characters.
validation.lte.array,The :attribute must not have more than :value items.,The :attribute must not have more than :value items.
validation.lte.file,The :attribute must be less than or equal to :value kilobytes.,The :attribute must be less than or equal to :value kilobytes.
validation.lte.numeric,The :attribute must be less than or equal to :value.,The :attribute must be less than or equal to :value.
validation.lte.string,The :attribute must be less than or equal to :value characters.,The :attribute must be less than or equal to :value characters.
validation.mac_address,The :attribute must be a valid MAC address.,The :attribute must be a valid MAC address.
validation.max_digits,The :attribute must not have more than :max digits.,The :attribute must not have more than :max digits.
validation.max.array,The :attribute must not have more than :max items.,The :attribute must not have more than :max items.
validation.max.file,The :attribute must not be greater than :max kilobytes.,The :attribute must not be greater than :max kilobytes.
validation.max.numeric,The :attribute must not be greater than :max.,The :attribute must not be greater than :max.
validation.max.string,The :attribute must not be greater than :max characters.,The :attribute must not be greater than :max characters.
validation.mimes,The :attribute must be a file of type: :values.,The :attribute must be a file of type: :values.
validation.mimetypes,The :attribute must be a file of type: :values.,The :attribute must be a file of type: :values.
validation.min_digits,The :attribute must have at least :min digits.,The :attribute must have at least :min digits.
validation.min.array,The :attribute must have at least :min items.,The :attribute must have at least :min items.
validation.min.file,The :attribute must be at least :min kilobytes.,The :attribute must be at least :min kilobytes.
validation.min.numeric,The :attribute must be at least :min.,The :attribute must be at least :min.
validation.min.string,The :attribute must be at least :min characters.,The :attribute must be at least :min characters.
validation.multiple_of,The :attribute must be a multiple of :value.,The :attribute must be a multiple of :value.
validation.not_in,The selected :attribute is invalid.,The selected :attribute is invalid.
validation.not_regex,The :attribute format is invalid.,The :attribute format is invalid.
