locale,key,first_seen_in_file
fr,all.message.coupon_not_applicable_now,app/Services/CouponService.php
fr,label.…,app/Http/Resources/SimpleOrderResource.php
en,all.item_match,app/Services/ItemAddonService.php
en,all.message.email_send,app/Http/Controllers/Admin/SubscriberController.php
en,all.message.kds_reopen_invalid_state,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
en,all.message.kds_reopen_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
en,all.order.status.,app/Services/OrderService.php
en,all.user_match,app/Services/UserAddressService.php
en,ask.,app/Exports/ItemExport.php
en,auth.old_password_mismatch,app/Http/Requests/ChangePasswordRequest.php
en,auth.password_confirmation_mismatch,app/Http/Requests/AdministratorRequest.php
en,installer.license.activation_help,resources/views/installer/license.blade.php
en,installer.license.active_license_code,resources/views/installer/license.blade.php
en,installer.license.go_to_inilabs,resources/views/installer/license.blade.php
en,installer.license.login_to_inilabs,resources/views/installer/license.blade.php
en,installer.license.step_1,resources/views/installer/license.blade.php
en,installer.license.step_2,resources/views/installer/license.blade.php
en,installer.license.step_3,resources/views/installer/license.blade.php
en,itemType.,resources/views/pdf/items_report.blade.php
en,label.…,app/Http/Resources/SimpleOrderResource.php
en,orderStatus.,resources/views/pdf/online_orders.blade.php
en,orderType.,resources/views/pdf/online_orders.blade.php
en,payment_gateway.,resources/views/pdf/sales_report.blade.php
en,payment_status.,resources/views/pdf/sales_report.blade.php
en,pos_payment_method.,resources/views/pdf/sales_report.blade.php
en,statuse.,app/Exports/AdministratorExport.php
ar,all.item_match,app/Services/ItemAddonService.php
ar,all.label.cash_no_open_session_blocks_sale,app/Http/Controllers/Admin/PosController.php
ar,all.message.coupon_not_applicable_now,app/Services/CouponService.php
ar,all.message.device_not_found,app/Http/Controllers/Admin/PromoFlyerController.php
ar,all.message.device_renamed,app/Http/Controllers/Auth/DeviceSessionController.php
ar,all.message.device_revoked,app/Http/Controllers/Auth/DeviceSessionController.php
ar,all.message.email_send,app/Http/Controllers/Admin/SubscriberController.php
ar,all.message.flyer_settings_saved,app/Http/Controllers/Admin/PromoFlyerController.php
ar,all.message.invalid_status_transition,app/Rules/ValidStatusTransition.php
ar,all.message.kds_reopen_invalid_state,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
ar,all.message.kds_reopen_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
ar,all.message.kiosk_machine_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
ar,all.message.kiosk_user_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
ar,all.message.kiosk_username_not_email,app/Http/Controllers/Auth/KioskMachineLoginController.php
ar,all.order.status.,app/Services/OrderService.php
ar,all.user_match,app/Services/UserAddressService.php
ar,ask.,app/Exports/ItemExport.php
ar,auth.old_password_mismatch,app/Http/Requests/ChangePasswordRequest.php
ar,auth.password_confirmation_mismatch,app/Http/Requests/AdministratorRequest.php
ar,installer.license.activation_help,resources/views/installer/license.blade.php
ar,installer.license.active_license_code,resources/views/installer/license.blade.php
ar,installer.license.go_to_inilabs,resources/views/installer/license.blade.php
ar,installer.license.label.license_code,resources/views/installer/license.blade.php
ar,installer.license.login_to_inilabs,resources/views/installer/license.blade.php
ar,installer.license.step_1,resources/views/installer/license.blade.php
ar,installer.license.step_2,resources/views/installer/license.blade.php
ar,installer.license.step_3,resources/views/installer/license.blade.php
ar,itemType.,resources/views/pdf/items_report.blade.php
ar,label.…,app/Http/Resources/SimpleOrderResource.php
ar,orderStatus.,resources/views/pdf/online_orders.blade.php
ar,orderType.,resources/views/pdf/online_orders.blade.php
ar,payment_gateway.,resources/views/pdf/sales_report.blade.php
ar,payment_status.,resources/views/pdf/sales_report.blade.php
ar,pos_payment_method.,resources/views/pdf/sales_report.blade.php
ar,statuse.,app/Exports/AdministratorExport.php
de,all.item_match,app/Services/ItemAddonService.php
de,all.label.cash_no_open_session_blocks_sale,app/Http/Controllers/Admin/PosController.php
de,all.message.coupon_not_applicable_now,app/Services/CouponService.php
de,all.message.coupon_not_yet_active,app/Services/CouponService.php
de,all.message.device_not_found,app/Http/Controllers/Admin/PromoFlyerController.php
de,all.message.device_renamed,app/Http/Controllers/Auth/DeviceSessionController.php
de,all.message.device_revoked,app/Http/Controllers/Auth/DeviceSessionController.php
de,all.message.email_send,app/Http/Controllers/Admin/SubscriberController.php
de,all.message.flyer_settings_saved,app/Http/Controllers/Admin/PromoFlyerController.php
de,all.message.invalid_status_transition,app/Rules/ValidStatusTransition.php
de,all.message.kds_recall_already_recalled,app/Services/KitchenDisplaySystemOrderService.php
de,all.message.kds_recall_invalid_state,app/Services/KitchenDisplaySystemOrderService.php
de,all.message.kds_recall_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
de,all.message.kds_recall_window_expired,app/Services/KitchenDisplaySystemOrderService.php
de,all.message.kds_reopen_invalid_state,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
de,all.message.kds_reopen_success,app/Http/Controllers/Admin/KitchenDisplaySystemController.php
de,all.message.kiosk_machine_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
de,all.message.kiosk_user_inactive,app/Http/Controllers/Auth/KioskMachineLoginController.php
de,all.message.kiosk_username_not_email,app/Http/Controllers/Auth/KioskMachineLoginController.php
de,all.message.method_not_supported,app/Exceptions/Handler.php
de,all.message.order_not_found,app/Exceptions/Handler.php
de,all.message.payment_canceled,app/Http/Controllers/Frontend/PaymentController.php
de,all.message.payment_successful,resources/views/paymentSuccess.blade.php
de,all.message.select_your_payment_method,resources/views/payment.blade.php
de,all.message.unauthorized,app/Exceptions/Handler.php
de,all.message.url_not_found,app/Exceptions/Handler.php
de,all.order.status.,app/Services/OrderService.php
de,all.user_match,app/Services/UserAddressService.php
de,ask.,app/Exports/ItemExport.php
de,auth.old_password_mismatch,app/Http/Requests/ChangePasswordRequest.php
de,auth.password_confirmation_mismatch,app/Http/Requests/AdministratorRequest.php
de,installer.license.activation_help,resources/views/installer/license.blade.php
de,installer.license.active_license_code,resources/views/installer/license.blade.php
de,installer.license.active_process,resources/views/installer/license.blade.php
de,installer.license.go_to_inilabs,resources/views/installer/license.blade.php
de,installer.license.label.license_code,resources/views/installer/license.blade.php
de,installer.license.login_to_inilabs,resources/views/installer/license.blade.php
de,installer.license.next,resources/views/installer/license.blade.php
de,installer.license.step_1,resources/views/installer/license.blade.php
de,installer.license.step_2,resources/views/installer/license.blade.php
de,installer.license.step_3,resources/views/installer/license.blade.php
de,installer.license.templateTitle,resources/views/installer/license.blade.php
