locale,key,first_seen_in_file
en,kiosk.consent.privacy_body,resources/js/components/frontend/kiosk/ds/KsConsentModal.vue
en,kiosk.filters.,resources/js/components/frontend/kiosk/KioskCategoriesComponent.vue
en,kiosk.max_quantity_reached,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.applied,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.apply,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.label,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.loading,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.placeholder,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,kiosk.promo.remove,resources/js/components/frontend/kiosk/KioskCartComponent.vue
en,label.,resources/js/components/admin/pos/ReceiptComponent.vue
en,label.base_ht,resources/js/components/admin/pos/ReceiptComponent.vue
en,label.change_due,resources/js/components/admin/pos/PaymentComponent.vue
en,label.has_menu,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
en,label.wizard_template,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
en,menu.,resources/js/components/admin/components/BreadcrumbComponent.vue
en,message.branch_required,resources/js/components/admin/pos/PosComponent.vue
en,message.cart_is_empty,resources/js/components/admin/pos/PosComponent.vue
en,message.cart_reset,resources/js/components/admin/pos/PosComponent.vue
en,message.cart_restored,resources/js/components/admin/pos/PosComponent.vue
en,message.discount_reason_required,resources/js/components/admin/pos/PosComponent.vue
en,message.something_went_wrong,resources/js/components/admin/pos/ItemComponent.vue
en,message.something_wrong,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
en,message.zone_required,resources/js/components/admin/settings/Branch/BranchShowComponent.vue
en,pos.barcode_not_found,resources/js/components/admin/pos/PosComponent.vue
en,ws_session_invalid_action,resources/js/components/common/ConnectionStatusBanner.vue
en,ws_session_invalid_text,resources/js/components/common/ConnectionStatusBanner.vue
ar,kiosk.consent.privacy_body,resources/js/components/frontend/kiosk/ds/KsConsentModal.vue
ar,kiosk.filters.,resources/js/components/frontend/kiosk/KioskCategoriesComponent.vue
ar,kiosk.max_quantity_reached,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.applied,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.apply,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.label,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.loading,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.placeholder,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.promo.remove,resources/js/components/frontend/kiosk/KioskCartComponent.vue
ar,kiosk.wizard.step.viande.instruction_complete,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.instruction_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.instruction_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.instruction_remaining_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.instruction_remaining_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.meta_included,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.meta_paid,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.step.viande.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
ar,kiosk.wizard.supplement_decrease,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
ar,kiosk.wizard.supplement_increase,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
ar,kiosk.wizard.supplement_qty_label,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
ar,kiosk.wizard.tap_to_choose,resources/js/components/frontend/kiosk/steps/KioskStepSupplementsComponent.vue
ar,label.,resources/js/components/admin/pos/ReceiptComponent.vue
ar,label.availability,resources/js/components/admin/items/ItemListComponent.vue
ar,label.base_ht,resources/js/components/admin/pos/ReceiptComponent.vue
ar,label.change_due,resources/js/components/admin/pos/PaymentComponent.vue
ar,label.has_menu,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
ar,label.is_upsell,resources/js/components/admin/items/ItemCreateComponent.vue
ar,label.is_upsell_hint,resources/js/components/admin/items/ItemCreateComponent.vue
ar,label.kiosk,resources/js/components/admin/onlineOrders/OnlineOrderListComponent.vue
ar,label.kiosk_admin_pin,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_admin_pin_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_idle_screen,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_idle_video,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_idle_video_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_tap_hint,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_tap_hint_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_welcome_subtitle,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_welcome_subtitle_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_welcome_title,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.kiosk_welcome_title_placeholder,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,label.loading,resources/js/components/admin/pos/ParkedOrdersComponent.vue
ar,label.loyalty_min_redeem_points,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_min_redeem_points_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_points_config,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_points_for_1_euro_discount,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_points_for_1_euro_discount_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_points_per_euro,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_points_per_euro_hint,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.loyalty_preview,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,label.out_of_stock,resources/js/components/admin/items/AvailabilityToggleComponent.vue
ar,label.toggle_available,resources/js/components/admin/items/AvailabilityToggleComponent.vue
ar,label.toggle_unavailable,resources/js/components/admin/items/AvailabilityToggleComponent.vue
ar,label.wizard_template,resources/js/components/admin/settings/ItemCategory/ItemCategoryCreateComponent.vue
ar,menu.,resources/js/components/admin/components/BreadcrumbComponent.vue
ar,menu.kiosk_setup,resources/js/components/admin/settings/KioskSetup/KioskSetupComponent.vue
ar,menu.loyalty_setup,resources/js/components/admin/settings/LoyaltySetup/LoyaltySetupComponent.vue
ar,message.branch_required,resources/js/components/admin/pos/PosComponent.vue
ar,message.cart_is_empty,resources/js/components/admin/pos/PosComponent.vue
ar,message.cart_reset,resources/js/components/admin/pos/PosComponent.vue
ar,message.cart_restored,resources/js/components/admin/pos/PosComponent.vue
ar,message.discount_reason_required,resources/js/components/admin/pos/PosComponent.vue
ar,message.new_pos_order,resources/js/components/admin/pos/PosComponent.vue
ar,message.new_pos_order_with_id,resources/js/components/admin/pos/PosComponent.vue
ar,message.something_went_wrong,resources/js/components/admin/pos/ItemComponent.vue
ar,message.something_wrong,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
ar,message.zone_required,resources/js/components/admin/settings/Branch/BranchShowComponent.vue
ar,pos.barcode_not_found,resources/js/components/admin/pos/PosComponent.vue
ar,ws_session_invalid_action,resources/js/components/common/ConnectionStatusBanner.vue
ar,ws_session_invalid_text,resources/js/components/common/ConnectionStatusBanner.vue
de,a11y.add_item,resources/js/components/admin/pos/ItemComponent.vue
de,a11y.cart_region,resources/js/components/admin/pos/PosComponent.vue
de,a11y.decrease_qty,resources/js/components/admin/pos/PosComponent.vue
de,a11y.increase_qty,resources/js/components/admin/pos/PosComponent.vue
de,a11y.receipt_preview,resources/js/components/admin/pos/ReceiptComponent.vue
de,a11y.remove_item,resources/js/components/admin/pos/PosComponent.vue
de,a11y.skip_to_cart,resources/js/components/admin/pos/PosComponent.vue
de,button.kds_allergens_modal_close,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.kds_bump,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.kds_recall,resources/js/components/admin/kitchenDisplaySystem/KitchenDisplaySystemComponent.vue
de,button.release_table,resources/js/components/admin/pos/FloorplanComponent.vue
de,button.transfer_table,resources/js/components/admin/pos/FloorplanComponent.vue
de,kiosk.consent.privacy_body,resources/js/components/frontend/kiosk/ds/KsConsentModal.vue
de,kiosk.filters.,resources/js/components/frontend/kiosk/KioskCategoriesComponent.vue
de,kiosk.loyalty_screen.request_timeout,resources/js/components/frontend/kiosk/KioskLoyaltyComponent.vue
de,kiosk.max_quantity_reached,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.pay_screen.tpe_stuck_help,resources/js/components/frontend/kiosk/KioskPaymentComponent.vue
de,kiosk.promo.applied,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.apply,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.label,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.loading,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.placeholder,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.promo.remove,resources/js/components/frontend/kiosk/KioskCartComponent.vue
de,kiosk.wizard.step.viande.instruction_complete,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_remaining_many,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
de,kiosk.wizard.step.viande.instruction_remaining_one,resources/js/components/frontend/kiosk/steps/KioskStepViandeComponent.vue
